Merk,Soort,Percentage alcohol,Brouwerij
3 Schténg,"hoge gisting, Vlaams oud bruin, regionaal bier",6%,het restaurant de Koning Boudewijntoren Panoramatoren Drielandenpunt[4] Gemmingen,2002-heden
IV Saison [5][6][7][8],saison,"6,5%",Brasserie de Jandrain-Jandrenouille,2007-heden
V Cense [6][9][10][11],"hoge gisting, spéciale belge","7,5%",Brasserie de Jandrain-Jandrenouille,?-?
VI Wheat [6][12][13][14],"hoge gisting, tarwebier",6%,Brasserie de Jandrain-Jandrenouille,?-?
7PK,"hoge gisting, tripel",7%,VZW De Winning Maatwerk,2013-heden
26.2 M [15][16][17],"hoge gisting, blond",6%,Brasserie L'Échappée Belle [18][19][20],?-?
28 Brett,"versneden, amber","7,5%",Caulier Developpement,?-heden
28 Pale Ale,blond,5%,Caulier Developpement,?-heden
28 Triple,"abdijbier, tripel",9%,Caulier Développement [21],?-heden
44 Blanche,"hoge gisting, tarwebier","5,5%",Brasserie de La Gleize [22],2014-?
44 Blonde,"hoge gisting, blond","5,5%",Brasserie de La Gleize [23],2014-?
44 Brune,"hoge gisting, oud bruin","5,5%",Brasserie de la Gleize [24],2014-?
44 Brune Cuvée Spéciale,"hoge gisting, oud bruin","6,5%",Brasserie de la Gleize [25],2014-?
44 Christmas,"hoge gisting, kerstbier",6%,Brasserie de la Gleize [26],2014-?
44 Nuts Ambrée,"hoge gisting, spéciale belge",6%,Brasserie de la Gleize [27],2014-?
44 Tiger Triple,"hoge gisting, tripel",8%,Brasserie de la Gleize [28],2014-?
365 Pils Bière,pils,"4,7%",Delhaize [29],?-?
421 Pintje,"hoge gisting, blond, speltbier","4,6%",Brasserie Millevertus,?-?
400-Quadrigenti,"hoge gisting, blond","5,6%",Brouwerij Montaigu [30],?-?
1414 Ambrosius [31][32][33][34],"hoge gisting, blond, hergisting op fles",5%,"de 600 verjaardag van Weert, Nl",2014-?
1815,"hoge gisting, spéciale belge",7%,de herdenking van de slag,2015
1842 by Caulier [37][38],"hoge gisting, blond, hergisting op fles",9%,"Caulier Developpement, Ghislenghien [40][41][42]",?-?
2290 Vorselaar [43][44],"hoge gisting, blond, hergisting op fles",6%,"Brouwerij Anders! [35] brewed for Vzw Vorselazerus, Dorpsbier Vorselaar",2016-?
Aardmonnik,oud bruin,8%,De Struise Brouwers,'50-heden
Aarschotse Bruine,bruin,6%,Stadsbrouwerij Aarschot,?-1969 en 2012-heden
Abbay d'Aulne Blonde des Pères 6,"abdijbier, blond",6%,Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Brune des Pères 6,"abdijbier, bruin",6%,Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Super Noël 9,"abdijbier, kerstbier",9%,Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Triple Blonde,"abdijbier, tripel",8%,Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Triple Brune,"abdijbier, tripel",8%,Brasserie Val de Sambre,1954-heden
Abbay d'Aulne Val de Sambre,"abdijbier, amber","6,4%",Brasserie Val de Sambre,1954-heden
Abbaye de Bonne-Espérance,abdijbier,"7,8%",Brouwerij Lefebvre,1970-heden
Abbaye de Forest,"abdijbier, tripel","6,5%",Brasserie de Silly,2005-heden
Abbaye de la Thure,abdijbier,10%,Brasserie Brootcoorens,
Abbaye de Saint-Martin Blonde,abdijbier,7%,Brasserie de Brunehaut,2002-heden
Abbaye de Saint-Martin Brune,abdijbier,8%,Brasserie de Brunehaut,2002-heden
Abbaye de Saint-Martin Cuvée de Noël,"abdijbier, kerstbier","8,5%",Brasserie de Brunehaut,?-heden
Abbaye de Saint-Martin Triple,"abdijbier, tripel",9%,Brasserie de Brunehaut,?-heden
Abbaye de Oudkerken,abdijbier,"6,2%",Brouwerij Lefebvre,
Abbaye des Rocs Blonde,"abdijbier, hoge gisting","7,5%",Brasserie de l'Abbaye des Rocs,1984-heden
Abbaye des Rocs Brune,abdijbier bruin,9%,Brasserie de l'Abbaye des Rocs,1984-heden
Abbaye des Rocs Grand Cru,abdijbier ale,"9,5%",Brasserie de l'Abbaye des Rocs,?-heden
Abbaye des Rocs Spéciale Noël,"abdijbier, kerstbier",9%,Brasserie de l'Abbaye des Rocs,?-heden
Abdis Blond,blond,"6,5%",Brouwerij Riva,2006-2008
Abdis Bruin,bruin,"6,5%",Brouwerij Riva,2006-2008
Abdis Tripel,tripel,"8,2%",Brouwerij Riva,2006-2008
Abdij van Roosenberg Dubbel,dubbel,7%,Brouwerij Van Steenberge,1971-heden
Abdij van Roosenberg Tripel,Tripel,9%,Brouwerij Van Steenberge,1971-heden
Achel 5 Blond,"trappist, blond",5%,Achelse Kluis,1998-heden
Achel 5 Bruin,"trappist, bruin",5%,Achelse Kluis,1998-heden
Achel 7,trappist,7%,Achelse Kluis,1999-2001?
Achel 6,trappist,6%,Achelse Kluis,1999-2001?
Achel 8 Blond,"trappist, blond",8%,Achelse Kluis,2001-heden
Achel 8 Bruin,"trappist, bruin",8%,Achelse Kluis,2001-heden
Achel Blond Extra,"trappist, blond","9,5%",Achelse Kluis,2010-heden
Achel Bruin Extra,"trappist, bruin","9,5%",Achelse Kluis,?-heden
Adelardus,abdijbier,7%,Brouwerij Kerkom,2002-heden
Adelardus Tripel,"abdijbier, tripel",9%,Brouwerij Kerkom,2005-heden
Adler,pils,"6,5%",Brouwerij Haacht,1955-heden
Adriaen Brouwer,"hoge gisting, bruin",5%,Brouwerij Roman,?-heden
Adriaen Brouwer Dark Gold,"hoge gisting, bruin","8,5%",Brouwerij Roman,2008-heden
Affligem 10,abdijbier,10%,Affligem Brouwerij,1983-1986
Affligem Blond,"abdijbier, blond","6,8%",Affligem Brouwerij,?-heden
Affligem Dubbel,"abdijbier, bruin","6,8%",Affligem Brouwerij,1956-heden
Affligem 950 Cuvee,"abdijbier, blond","6,8%",Affligem Brouwerij,2012-heden
Affligem Noël,"abdijbier, kerstbier",9%,Affligem Brouwerij,?-heden
Affligem Patersvat,"abdijbier, dubbel gehopt","6,8%",Affligem Brouwerij,?-heden
Affligem Rood,abdijbier,"6,7%",Affligem Brouwerij,?-1994
Affligem Tripel,"abdijbier, tripel","8,5%",Affligem Brouwerij,1957-heden
Agrumbocq,"hoge gisting, witbier, fruitbier","3,1%",Brasserie du Bocq,?-heden
Airborne,"abdijbier, dubbel","7,5%",Brasserie Lamborelle [45],?-?
Airborne Christmas,kerstbier,8%,Brasserie Lamborelle [45],?-?
Akila Pils,pils,5%,Brouwerij Louwaege,?-2002
Alfoncine,robijnrood,"8,5%",Biofresh Gavere,?-heden
Alfri,NA pils,"0,5%",Brouwerij Roman,?-heden
Alpaïde,donkere tripel,10%,Brouwerij Nieuwhuys,2006-heden
Alpaïde Cuvée van de generaal,blonde tripel,"8,5%",Brouwerij Nieuwhuys,2010-heden
Alpha [46],amber,6%,Brussels Beer Project,2013
Altitude 6,"ale, blond",6%,Brasserie de l'Abbaye des Rocs,?-heden
Alvinne blond,blond,"6,3%",Brouwerij Alvinne,2004-2008
Alvinne Extra Restyled,lichtamber,7%,Brouwerij Alvinne,2005-2010
Alvinne Lex'ke,blond,"6,3%",Brouwerij Alvinne,2008-?
Alvinne Tripel,tripel,"8,7%",Brouwerij Alvinne,2004-2010
Alvino Bourgogne Barrel OA,"fruitbier, oak aged","5,5%",Brouwerij Alvinne,?-heden
Ambetanterik,stout,"8,7%",Brouwerij Het Alternatief,2010-?
Ambiorix,roodbruin,8%,Brouwerij Slaghmuylder,1985-heden
Angélus Blonde,blond,7%,Brasserie Brootcoorens,?-heden
Angélus Brune,bruin,7%,Brasserie Brootcoorens,?-heden
Angélus Spéciale Noël,kerstbier,9%,Brasserie Brootcoorens,?-heden
Anker Blond,blond,"6,5%",Brouwerij Het Anker,?-?
Anker Boscoulis,fruitbier,"6,5%",Brouwerij Het Anker,2004-2009
Anker Herfstbok,"bruin speciaalbier, bokbier","6,5%",Brouwerij Het Anker,2003-heden
Anker Pils,pils,,Brouwerij Het Anker,?-1960
Anker Pils,pils,5%,Brouwerij Het Anker,1998-heden
Antiek Blond,blond,8%,Brouwerij Deca,?-heden
Antiek Bruin,bruin,8%,Brouwerij Deca,?-heden
Antiek Super 5 Blond,blond,5%,Brouwerij Deca,?-heden
Antigoon,blond,"6,7%",The Musketeers,2014-heden
Antwerps Blond,blond,5%,Huisbrouwerij 't Pakhuis,?-heden
Antwerps Bruin,bruin,"5,8%",Huisbrouwerij 't Pakhuis,?-heden
Applebocq,fruitbier,"3,1%",Brasserie Du Bocq,?-heden
Arabier,blond,8%,De Dolle Brouwers,?-heden
Archiduc,,"6,2%",Brasserie d'Ecaussinnes,
Arend Blond,blond,"6,5%",Brouwerij De Ryck,?-heden
Arend Dubbel,donkerbruin,"6,5%",Brouwerij De Ryck,?-heden
Arend Tripel,goudblond,8%,Brouwerij De Ryck,?-heden
Arend Winter,donkeramber,"6,3%",Brouwerij De Ryck,1986-heden
Arendonker Bruin,bruin,"8,5%",Dorpsbrouwerij Humulus,2011-heden
Arendonker Tripel,goudblond,8%,Dorpsbrouwerij Humulus,2012-heden
Armand’4 Herfst,oude geuze,6%,Geuzestekerij 3 Fonteinen,2011-2015?
Armand’4 Lente,oude geuze,6%,Geuzestekerij 3 Fonteinen,2011-heden
Armand’4 Winter,oude geuze,6%,Geuzestekerij 3 Fonteinen,2012-heden
Armand’4 Zomer,oude geuze,6%,Geuzestekerij 3 Fonteinen,2011-heden
Artevelde,Speciale Belge,"5,7%",Brouwerij Huyghe,1985-heden
Artevelde Grand Cru,roodbruin,"7,2%",Brouwerij Huyghe,1987-heden
Asterie,witbier,"4,9%",Brasserie d'Ecaussinnes,
Atomium Premier Grand Cru,amber,8%,Brouwerij Van Steenberge,
Augrenette,blond,"4,5%",Brouwerij Augrenoise,?-heden
Augrenoise,troebel blond,"6,5%",Brouwerij Augrenoise,2001-heden
Augrenoise Blonde de Noël,"troebel blond, kerstbier",10%,Brouwerij Augrenoise,
Augustijn Blond,abdijbier,"7,5%",Brouwerij Van Steenberge,1978-heden
Augustijn Donker,abdijbier,7%,Brouwerij Van Steenberge,1978-heden
Augustijn Grand Cru,"abdijbier, tripel",9%,Brouwerij Van Steenberge,?-heden
Authentic 621,bruin,"7,5%",Authentique Brasserie,
Authentic Ambrée,amber,5%,Authentique Brasserie,
Authentic Blonde,blond,"6,5%",Authentique Brasserie,
Authentic Blonde de Noël,kerstbier,9%,Authentique Brasserie,
Authentic Triple,tripel,"9,5%",Authentique Brasserie,
L'Autruche Biere des Gilles,blond troebel,7%,Brasserie de Silenrieux,2002-heden
Avec les Bons Vœux,blond,"9,5%",Brouwerij Dupont,1980-heden
Averbode,abdijbier,"7,5%",Brouwerij Huyghe,2014-?
Babylone,bitter,7%,Brouwerij Brussels Beer Project,2015-heden
Bacchus,oud bruin,"4,5%",Brouwerij Van Honsebrouck,?-heden
Bacchus Frambozenbier,fruitbier,5%,Brouwerij Van Honsebrouck,?-heden
Bacchus Kriekenbier,fruitbier,"5,8%",Brouwerij Van Honsebrouck,?-heden
Balthazar,winterbier,"8,9%",Brouwerij Alvinne,2007-heden
Barbãr,"blond, honingbier",8%,Brouwerij Lefebvre,1995-heden
Barbãr Winter Bok,"bokbier, honingbier",8%,Brouwerij Lefebvre,?-heden
Barbãr Cuveé Special,honingbier,8%,Brouwerij Lefebvre,2016-heden
Barbe d'Or,blond,"7,5%",Brouwerij Verhaeghe,2009-heden
Barbe Noire,stout,9%,Brouwerij Verhaeghe,2011-heden
Barbe Rouge,amber,8%,Brouwerij Verhaeghe,2010-heden
Barse Cuvée,bruin,10%,Bierfirma Valocco,2013-heden
Bas,goudblond,"6,5%",bierfirma Bas-bieren,2008-heden
Bastogne Pale Ale,Belgian IPA,"6,5%",Brasserie de Bastogne,2011-heden
Basilius,amber,7%,’t Brugs Bierinstituut,2011-heden
Bavaro,"blond, lage gisting","3,6%",Brouwerij Haacht,?-heden
Bavik Blond,tafelbier,"1,5%",Brouwerij Bavik,?-heden
Bavik Faro,tafelbier,"1,5%",Brouwerij Bavik,?-heden
Bavik Pony-Stout,stout,"5,2%",Brouwerij Bavik,?-heden
Bavik Premium Pils,pils,"5,2%",Brouwerij Bavik,?-heden
Bavik Triple Bock,bokbier,3%,Brouwerij Bavik,?-heden
Beer for Life,blond,"6,5%",Brouwerij Dilewyns,2011-2011
Beernems Berenbier,blond,"7,5%",BIVO Drinks,2003-?
Beersel Bio,blond,7%,Geuzestekerij 3 Fonteinen,
Beersel Blond,blond,7%,Geuzestekerij 3 Fonteinen,
Beersel Lager,pils,"5,2%",Geuzestekerij 3 Fonteinen,
Bel Pils,pils,5%,Brouwerij Duvel Moortgat,
Belgian Angel Stout,stout,"5,2%",Brasserie Brootcoorens,
Belgian Framboises,fruitbier,"3,5%",Brasserie Lefebvre,2004-heden
Belgian Kriek,fruitbier,"3,5%",Brasserie Lefebvre,2003-heden
Belge,Spéciale Belge,5%,Brasserie La Binchoise,2003-heden
Belgian Pêches,fruitbier,"3,5%",Brasserie Lefebvre,2003-heden
Belgica IPA,IPA,"7,9%",Brouwerij Strubbe,
Belgoo Arboo,"tripel, amber","8,1%",Brouwerij Belgoobeer,2007-heden
Belgoo Bio Amber,biologisch,"7,8%",Brouwerij Belgoobeer,?-heden
Belgoo Bio Blond,biologisch,"6,4%",Brouwerij Belgoobeer,?-heden
Belgoo Magus,blond,"6,6%",Brouwerij Belgoobeer,2007-heden
Belgoo Maxus,goudblond,"8,1%",Brouwerij Belgoobeer,2007-heden
Belgoo Luppoo,goudblond,"6,5%",Brouwerij Belgoobeer,2007-heden
Bella Mère,blond,"6,5%",Brasserie Millevertus,2006-heden
Belle Cies,blond,10%,Huisbrouwerij Den Tseut,?-heden
Belle-Fleur,IPA,6%,Brouwerij De Dochter van de Korenaar,?-heden
Belle-Vue Framboise,fruitbier,"5,7%",Brouwerij Belle-Vue,?-heden
Belle-Vue Extra Framboise,fruitbier,"2,9%",Brouwerij Belle-Vue,?-heden
Belle-Vue Kriek,kriek,"5,2%",Brouwerij Belle-Vue,?-heden
Belle-Vue Kriek Classique,Kriek,"5,1%",Brouwerij Belle-Vue,?-heden
Belle-Vue Kriek Primeur,lambiek,"5,5%",Brouwerij Belle-Vue,1992-2004
Belle-Vue Extra Kriek,kriek,"4,3%",Brouwerij Belle-Vue,2004-heden
Belle-Vue Gueuze,lambiek,"5,5%",Brouwerij Belle-Vue,?-heden
Belle-Vue Selection Lambik,lambiek,,Brouwerij Belle-Vue,1991-1999
Belle-Vue LA,Alcoholarm,1%,Brouwerij Belle-Vue,?-heden
Bellebier Amber,amber,"5,2%",Paeleman,
Bellebier Dubbel,bruin,"6,2%",Paeleman,
Bellebier Trippel,tripel,8%,Paeleman,
Bellegems Bruin,Vlaams oud bruin,"5,5%",Brouwerij Bockor,?-2012
Bellegems Witbier,witbier,"5,0%",Brouwerij Bockor,2008-heden
Belval,blond,"4,8%",Gageleer,2010-2012
Berentemmer,bruin,7%,Brouwerij Maenhout,2011-heden
Bersalis Tripel,"blond, hoge gisting, tripel","9,5%",Brouwerij Oud Beersel,2005-heden
Bersalis Kadet,blond,"4,5%",Brouwerij Oud Beersel,2005-heden
Bertinchamps B+ Blanche,witbier,5%,Brasserie de Bertinchamps,
Bertinchamps B+ Pamplemousse,fruitbier,"5,2%",Brasserie de Bertinchamps,
Bertinchamps Blonde,blond,"6,2%",Brasserie de Bertinchamps,
Bertinchamps Brune,bruin,7%,Brasserie de Bertinchamps,
Bertinchamps Hiver,winterbier,8%,Brasserie de Bertinchamps,
Bertinchamps Triple,tripel,8%,Brasserie de Bertinchamps,
Beta,donkeramber,6%,Brussels Beer Project,
Betchard Brune,bruin,7%,Brasserie de Tubize,
Betchard Blonde,blond,"5,5%",Brasserie de Tubize,
Bieken,blond,8%,Brouwerij Boelens,1993-heden
Bierbeekse,"blond-amber, hoge gisting","7,3%",de gemeente Bierbeek en Terclavers,2003-heden
Bierbuik,donker,8%,De Verhuisbrouwerij,1999-?
Bière Darbyste,amber,"5,8%",Brasserie de Blaugies,1990-heden
Bière de Beloeil,hoge gisting,"8,5%",Brasserie Dupont,1988-heden
Bière de Garde,"biologisch, roodbruin",10%,Brouwerij Jessenhofke,2010-heden
Bière de la Bonde,tripel,10%,Brouwerij Van Eecke,1964-heden
Bière de Miel Bio,honingbier,8%,Brouwerij Rimaux-Deridder,1880-1920
Bière de Miel Bio,"biologisch, honingbier",8%,Brouwerij Dupont,1997-heden
Bière des Ours,honingbier,"8,5%",Brasserie La Binchoise,1995-heden
Bière du Corsaire Cuvée Spéciale,sterk blond,"9,4%",Brouwerij Huyghe,1992-heden
Bière du Mont Saint-Aubert,blond,8%,Brasserie de Brunehaut,1993-heden
Bière Spéciale Belge,Spéciale Belge,5%,Brasserie La Binchoise,2003-heden
Big Bavik,blond,5%,Brouwerij Bavik,
Bierpruver Dubbel Bruin,dubbel,"7,5%",Huisbrouwerij de 3 vaten,2011-heden
Bierpruver Tripel,tripel,9%,Huisbrouwerij de 3 vaten,2011-heden
Bierpruver Winter,winterbier,8%,Huisbrouwerij de 3 vaten,?-heden
Big Bayou,met cajunkruiden,4%,Brouwerij Smisje,
Bink Blond,Belgische pale ale,"5,5%",Brouwerij Kerkom,1988-heden
Bink Bruin,dubbel,"5,5%",Brouwerij Kerkom,
Bink Bloesem,blond,"7,1%",Brouwerij Kerkom,2000-heden
Bink Tripel,tripel,9%,Brouwerij Kerkom,2003-heden
Biolégère,biologisch,"3,5%",Brouwerij Dupont,1992-heden
Bioloo Amber,biologisch,"7,8%",Brouwerij Belgoobeer,?-heden
Bioloo Blond,biologisch,"6,4%",Brouwerij Belgoobeer,?-heden
Bitter Sweet Symphony,dubbele IPA,"7,8%",Brouwerij 't Gaverhopke,
Bittere Waarheid,Belgian IPA,11%,Brouwerij Het Alternatief,
Black,donkere ale,"6,3%",Brasserie de Bellevaux,?-heden
Black Albert,Belgian Royal Stout,13%,De Struise Brouwers,
Black Damnation,Russian Imperial Stout,13%,De Struise Brouwers,
Black Damnation I,Russian Imperial Stout,13%,De Struise Brouwers,
Black Damnation II,Russian Imperial Stout,12%,De Struise Brouwers,
Black Damnation III,Russian Imperial Stout,13%,De Struise Brouwers,
Black Damnation IV,Russian Imperial Stout,13%,De Struise Brouwers,
Black Damnation V,"Russian Imperial Stout, Eisbockmethode",26%,De Struise Brouwers,
Black Damnation VI,"Russian Imperial Stout, Eisbockmethode",39%,De Struise Brouwers,
Black Damnation VII,"Russian Imperial Stout, Eisbockmethode",2%,De Struise Brouwers,
Black Damnation VIII,Russian Imperial Stout,12%,De Struise Brouwers,
Black Damnation IX,Russian Imperial Stout,19.1%,De Struise Brouwers,
Black Damnation X,Russian Imperial Stout,15%,De Struise Brouwers,
Black Damnation XI,"Russian Imperial Stout, Eisbockmethode",22%,De Struise Brouwers,
Black Damnation XII,Russian Imperial Stout,13%,De Struise Brouwers,
Black Damnation XIII,Russian Imperial Stout,13.5%,De Struise Brouwers,2013-heden
Black Damnation XIV,Russian Imperial Stout,13%,De Struise Brouwers,2013-heden
Black Damnation XV,"Russian Imperial Stout, Eisbockmethode",13%,De Struise Brouwers,2013-heden
Black Damnation XVI,"Russian Imperial Stout, Eisbockmethode",13%,De Struise Brouwers,2013-heden
Black Damnation XVII,"Russian Imperial Stout, Eisbockmethode",13%,De Struise Brouwers,2013-heden
Black Damnation XVIII,"Russian Imperial Stout, Eisbockmethode",13%,De Struise Brouwers,2013-heden
Black Damnation XIX,"Russian Imperial Stout, Eisbockmethode",13%,De Struise Brouwers,2013-heden
Black Damnation XX,"Russian Imperial Stout, Eisbockmethode",13%,De Struise Brouwers,2013-heden
Black Damnation XXI,"Russian Imperial Stout, Eisbockmethode",13%,De Struise Brouwers,2013-heden
Black Damnation XXII,"Russian Imperial Stout, Eisbockmethode",13%,De Struise Brouwers,2013-heden
Black Ghost,hoge gisting,8%,Brasserie Fantôme,?-heden
Black Hole,pils,"5,6%",Brouwerij Roman,2005-heden
Black Jack,Porter,7%,De Struise Brouwers,
